Normalization,Model,accuracy,accuracy_std,f1,f1_std,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std
min_max,lightgbm,0.5258064516129032,0.06643908431847961,0.5265020739011171,0.20952475332977874,0.5420792021874696,0.18688317979681068,0.5515263149217613,0.2740068377740453,0.5495663900564229,0.05588773032201463
min_max,lstm,0.5441379310344827,0.08855827669386368,0.6403859495839666,0.13873352146083096,0.5694239537269125,0.06635488266127348,0.788236872458799,0.2707643416051377,0.5275456189083177,0.0906699969531209
z_score,lightgbm,0.5238709677419354,0.06546400461401715,0.5262515051085067,0.21026259369183378,0.5423209631559669,0.18781566349629367,0.555272788973504,0.27742328648181064,0.5499234399179052,0.057810816339357855
z_score,lstm,0.5337931034482758,0.04163141592492846,0.5790361973785983,0.1080538199826342,0.5969308581915452,0.051358612332929675,0.6098878949408238,0.22149008149524704,0.5256973792011496,0.05982632039673099
median,lightgbm,0.5180645161290324,0.07579203706468214,0.5169114771137873,0.21351597288508609,0.5360604946960389,0.1902856696220451,0.5415715870351833,0.2764900753748206,0.547847302580522,0.05264726619013897
median,lstm,0.5275862068965517,0.028140973466349195,0.5660961006903285,0.05339369862059761,0.5968395977429515,0.048084145788799396,0.5486883797956029,0.09533959119205464,0.5331031307322975,0.03693842561044501
sigmoid,lightgbm,0.5380645161290323,0.03452667912325072,0.6004980553904361,0.06254222545070477,0.6029914547313788,0.03947177784328285,0.6202505764682724,0.14356319592845462,0.5412422400549199,0.04282097196598879
sigmoid,lstm,0.5724137931034483,0.03913451299065133,0.7272866095199108,0.0314903058462922,0.5724137931034483,0.03913451299065133,1.0,0.0,0.5573034901385425,0.08186613586401587
tanh_estimator,lightgbm,0.5309677419354839,0.07108787486015596,0.5276865969313457,0.21049562312970901,0.5517899043065535,0.19402071948209762,0.5459296462274544,0.2677246762559716,0.5531786126944083,0.05641036415800561
tanh_estimator,lstm,0.5724137931034483,0.03913451299065133,0.7272866095199108,0.0314903058462922,0.5724137931034483,0.03913451299065133,1.0,0.0,0.46837254091597613,0.07262779235802244
