Normalization,Model,accuracy,accuracy_std,f1,f1_std,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std
min_max,lightgbm,0.5258064516129032,0.06643908431847961,0.5265020739011171,0.20952475332977874,0.5420792021874696,0.18688317979681068,0.5515263149217613,0.2740068377740453,0.5495663900564229,0.05588773032201463
min_max,lstm,0.5613793103448276,0.08391150992692485,0.6819945147850915,0.10816734422970636,0.5707278869001946,0.06252059403322072,0.8693731339265736,0.20685319645469155,0.5369283359658504,0.10281956455834307
z_score,lightgbm,0.5238709677419354,0.06546400461401715,0.5262515051085067,0.21026259369183378,0.5423209631559669,0.18781566349629367,0.555272788973504,0.27742328648181064,0.5499234399179052,0.057810816339357855
z_score,lstm,0.5310344827586208,0.06571657517005018,0.5675751782379863,0.13767337976807423,0.5856214264379002,0.05530969979149321,0.6048563656233935,0.258458823380252,0.5210754134182551,0.07710067361940019
median,lightgbm,0.5180645161290324,0.07579203706468214,0.5169114771137873,0.21351597288508609,0.5360604946960389,0.1902856696220451,0.5415715870351833,0.2764900753748206,0.547847302580522,0.05264726619013897
median,lstm,0.5289655172413792,0.03662971510314346,0.5811685481734682,0.06688856575813491,0.5889015975424914,0.04836258747969313,0.5844861840559916,0.11071751035344078,0.5199849090668384,0.049288741798054654
sigmoid,lightgbm,0.5380645161290323,0.03452667912325072,0.6004980553904361,0.06254222545070477,0.6029914547313788,0.03947177784328285,0.6202505764682724,0.14356319592845462,0.5412422400549199,0.04282097196598879
sigmoid,lstm,0.546896551724138,0.03636909482326955,0.6987072338897896,0.041589608848141925,0.564214638101254,0.031047806907275426,0.9328184514780734,0.12150866181702731,0.5415892402447968,0.09319660639150226
tanh_estimator,lightgbm,0.5309677419354839,0.07108787486015596,0.5276865969313457,0.21049562312970901,0.5517899043065535,0.19402071948209762,0.5459296462274544,0.2677246762559716,0.5531786126944083,0.05641036415800561
tanh_estimator,lstm,0.5724137931034483,0.03913451299065133,0.7272866095199108,0.0314903058462922,0.5724137931034483,0.03913451299065133,1.0,0.0,0.45642238202956076,0.06718743975450758
